"PointID","x","y","z","Pressure","Velocity_x","Velocity_y","Velocity_z","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Skin_Friction_Coefficient_z","Heat_Flux","Y_Plus","Eddy_Viscosity"
78960, -3.526629065654328e-002, -3.544257805704941e-002, 0.000000000000000e+000, -5.348017544717097e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -1.069603508943419e+000, 1.000000000000000e+000, 1.000000000000000e-005, 3.969231171298686e-002, -3.881174469761696e-002, -4.192732938673319e-005, -0.000000000000000e+000, 1.666039432121940e+000, 0.000000000000000e+000
78961, -3.526629088937393e-002, -3.544257805704940e-002, 6.896552212279052e-004, -5.344955596766328e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -1.068991119353266e+000, 1.000000000000000e+000, 1.000000000000000e-005, 3.946151446375174e-002, -3.858606785116916e-002, 1.209185038437775e-004, -0.000000000000000e+000, 1.661190403183101e+000, 0.000000000000000e+000
78962, -3.619982216745803e-002, -3.448779249025495e-002, 0.000000000000000e+000, -4.796370661451261e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -9.592741322902522e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.782185341593571e-002, -3.973855082019560e-002, -4.939043333906226e-005, -0.000000000000000e+000, 1.646162285728968e+000, 0.000000000000000e+000
78963, -3.619982227751503e-002, -3.448779237340301e-002, 6.896552212279258e-004, -4.793959439414153e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -9.587918878828305e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.762001279963881e-002, -3.952648473215294e-002, 1.301363212508616e-004, -0.000000000000000e+000, 1.641765980453076e+000, 0.000000000000000e+000
78964, -3.710733100927676e-002, -3.350823939702800e-002, 0.000000000000000e+000, -4.325365911135161e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -8.650731822270321e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.660588186215055e-002, -4.051465115749626e-002, -5.612680042378248e-005, -0.000000000000000e+000, 1.632992180719150e+000, 0.000000000000000e+000
78965, -3.710733111401686e-002, -3.350823928129536e-002, 6.896552212279267e-004, -4.323272569589244e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -8.646545139178488e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.642599984111462e-002, -4.031556148532202e-002, 1.342693799930246e-004, -0.000000000000000e+000, 1.628977019605409e+000, 0.000000000000000e+000
78966, -3.799010787050661e-002, -3.250634041324477e-002, 0.000000000000000e+000, -3.850896677482921e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -7.701793354965841e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.568895303190048e-002, -4.168989714026680e-002, -6.335234572362797e-005, -0.000000000000000e+000, 1.628504081565104e+000, 0.000000000000000e+000
78967, -3.799010796985906e-002, -3.250634029897974e-002, 6.896552212279278e-004, -3.849094995865530e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -7.698189991731059e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.552865818888015e-002, -4.150264958532247e-002, 1.371597770908345e-004, -0.000000000000000e+000, 1.624844821461279e+000, 0.000000000000000e+000
78968, -3.884392221403997e-002, -3.147964784621170e-002, 0.000000000000000e+000, -3.369270412561965e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -6.738540825123930e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.375035840183950e-002, -4.169369404038308e-002, -7.033205739654152e-005, -0.000000000000000e+000, 1.602190820916676e+000, 0.000000000000000e+000
78969, -3.884392230569141e-002, -3.147964773192945e-002, 6.896552212279291e-004, -3.367757198514659e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -6.735514397029317e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.361293570465311e-002, -4.152392831739919e-002, 1.378966265973155e-004, -0.000000000000000e+000, 1.598927619354948e+000, 0.000000000000000e+000
78970, -3.967028035703804e-002, -3.043072993715944e-002, 0.000000000000000e+000, -2.913471644824818e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -5.826943289649635e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.187552579014166e-002, -4.151620573995775e-002, -7.677418419885222e-005, -0.000000000000000e+000, 1.575550842727677e+000, 0.000000000000000e+000
78971, -3.967028044353045e-002, -3.043072982480310e-002, 6.896552212279300e-004, -2.912107563590125e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -5.824215127180250e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.175863293740151e-002, -4.136395902415209e-002, 1.376852338121750e-004, -0.000000000000000e+000, 1.572661181958554e+000, 0.000000000000000e+000
78972, -4.047019667721721e-002, -2.936151038948029e-002, 0.000000000000000e+000, -2.445626000446853e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -4.891252000893706e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.048644151587651e-002, -4.200626386833127e-002, -8.341096405728262e-005, -0.000000000000000e+000, 1.562487176816445e+000, 0.000000000000000e+000
78973, -4.047019675847128e-002, -2.936151027947216e-002, 6.896552212279309e-004, -2.444436180624551e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -4.888872361249103e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.038623871297919e-002, -4.186819789378048e-002, 1.391781679205960e-004, -0.000000000000000e+000, 1.559919090320487e+000, 0.000000000000000e+000
78974, -4.123877776968057e-002, -2.826954900521353e-002, 0.000000000000000e+000, -1.970006364623670e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -3.940012729247339e-001, 1.000000000000000e+000, 1.000000000000000e-005, 2.831298661936507e-002, -4.135808357298430e-002, -8.888864922538419e-005, -0.000000000000000e+000, 1.529681811674525e+000, 0.000000000000000e+000
